,Movie_Names,Ratings,Released_Year,Movie_Link,Votes,Metascore,Userreviews,Criticreviews
50, Rear Window,8.4,1954,https://www.imdb.com/title/tt0047396/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_51,"<div class=""sc-bde20123-3 bjjENQ"">503K</div>",100,997,189
51, Alien,8.4,1979,https://www.imdb.com/title/tt0078748/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_52,"<div class=""sc-bde20123-3 bjjENQ"">905K</div>",89,1.7K,297
52, City Lights,8.4,1931,https://www.imdb.com/title/tt0021749/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_53,"<div class=""sc-bde20123-3 bjjENQ"">189K</div>",99,358,133
53, Apocalypse Now,8.4,1979,https://www.imdb.com/title/tt0078788/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_54,"<div class=""sc-bde20123-3 bjjENQ"">683K</div>",94,1.4K,306
54, Memento,8.4,2000,https://www.imdb.com/title/tt0209144/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_55,"<div class=""sc-bde20123-3 bjjENQ"">1.3M</div>",81,2.4K,235
55, Django Unchained,8.4,2012,https://www.imdb.com/title/tt1853728/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_56,"<div class=""sc-bde20123-3 bjjENQ"">1.6M</div>",81,1.8K,663
56, Indiana Jones and the Raiders of the Lost Ark,8.4,1981,https://www.imdb.com/title/tt0082971/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_57,"<div class=""sc-bde20123-3 bjjENQ"">990K</div>",85,1.1K,288
57, WALL·E,8.4,2008,https://www.imdb.com/title/tt0910970/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_58,"<div class=""sc-bde20123-3 bjjENQ"">1.1M</div>",95,1.5K,235
58, The Lives of Others,8.4,2006,https://www.imdb.com/title/tt0405094/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_59,"<div class=""sc-bde20123-3 bjjENQ"">397K</div>",89,580,228
59, Sunset Blvd.,8.4,1950,https://www.imdb.com/title/tt0043014/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_60,"<div class=""sc-bde20123-3 bjjENQ"">227K</div>",94,718,197
60, Paths of Glory,8.4,1957,https://www.imdb.com/title/tt0050825/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_61,"<div class=""sc-bde20123-3 bjjENQ"">203K</div>",90,512,178
61, Avengers: Infinity War,8.4,2018,https://www.imdb.com/title/tt4154756/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_62,"<div class=""sc-bde20123-3 bjjENQ"">1.1M</div>",68,4.5K,522
62, The Shining,8.4,1980,https://www.imdb.com/title/tt0081505/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_63,"<div class=""sc-bde20123-3 bjjENQ"">1.1M</div>",66,2.1K,369
63, The Great Dictator,8.4,1940,https://www.imdb.com/title/tt0032553/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_64,"<div class=""sc-bde20123-3 bjjENQ"">229K</div>",0,328,118
64, Witness for the Prosecution,8.4,1957,https://www.imdb.com/title/tt0051201/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_65,"<div class=""sc-bde20123-3 bjjENQ"">130K</div>",76,348,99
65, Spider-Man: Into the Spider-Verse,8.4,2018,https://www.imdb.com/title/tt4633694/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_66,"<div class=""sc-bde20123-3 bjjENQ"">587K</div>",87,2.1K,434
